SalePrice,YearBuilt,YrSold,MonthSold,Size(sqf),Floor,HallwayType,HeatingType,AptManageType,N_Parkinglot(Ground),N_Parkinglot(Basement),TimeToBusStop,TimeToSubway,N_APT,N_manager,N_elevators,SubwayStation,N_FacilitiesNearBy(PublicOffice),N_FacilitiesNearBy(Hospital),N_FacilitiesNearBy(Dpartmentstore),N_FacilitiesNearBy(Mall),N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(Park),N_SchoolNearBy(Elementary),N_SchoolNearBy(Middle),N_SchoolNearBy(High),N_SchoolNearBy(University),N_FacilitiesInApt,N_FacilitiesNearBy(Total),N_SchoolNearBy(Total)
292035,2006,2007,10,2056,2,terraced,individual_heating,management_in_trust,249,536,0~5min,0-5min,6,5,11,Sin-nam,1,1,0,1,0,0,2,2,1,2,5,3,7
221238,1993,2007,10,1761,15,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,8,20,Myung-duk,6,2,0,1,5,0,4,3,5,5,4,14,17
38495,1992,2007,10,355,13,corridor,individual_heating,management_in_trust,200,0,5min~10min,10min~15min,3,5,10,Myung-duk,7,1,1,1,5,1,4,3,5,5,3,16,17
60619,1992,2007,10,576,2,corridor,individual_heating,management_in_trust,200,0,5min~10min,10min~15min,3,5,10,Myung-duk,7,1,1,1,5,1,4,3,5,5,3,16,17
138053,1993,2007,10,914,9,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,8,20,Myung-duk,6,2,0,1,5,0,4,3,5,5,4,14,17
39823,1992,2007,10,355,5,corridor,individual_heating,management_in_trust,200,0,5min~10min,10min~15min,3,5,10,Myung-duk,7,1,1,1,5,1,4,3,5,5,3,16,17
36283,1992,2007,10,355,1,corridor,individual_heating,management_in_trust,200,0,5min~10min,10min~15min,3,5,10,Myung-duk,7,1,1,1,5,1,4,3,5,5,3,16,17
92920,1993,2007,10,644,18,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,8,20,Myung-duk,6,2,0,1,5,0,4,3,5,5,4,14,17
176991,1993,2007,10,1451,17,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,8,20,Myung-duk,6,2,0,1,5,0,4,3,5,5,4,14,17
134513,1993,2007,10,914,16,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,8,20,Myung-duk,6,2,0,1,5,0,4,3,5,5,4,14,17
77876,1992,2007,10,644,7,mixed,individual_heating,self_management,142,79,5min~10min,15min~20min,3,4,8,Myung-duk,5,1,1,1,1,0,3,3,4,4,3,9,14
85840,1993,2007,10,644,17,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,8,20,Myung-duk,6,2,0,1,5,0,4,3,5,5,4,14,17
141592,1992,2007,10,1448,11,mixed,individual_heating,self_management,142,79,5min~10min,15min~20min,3,4,8,Myung-duk,5,1,1,1,1,0,3,3,4,4,3,9,14
98230,1993,2007,10,644,12,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,8,20,Myung-duk,6,2,0,1,5,0,4,3,5,5,4,14,17
35398,1992,2007,10,355,8,corridor,individual_heating,management_in_trust,200,0,5min~10min,10min~15min,3,5,10,Myung-duk,7,1,1,1,5,1,4,3,5,5,3,16,17
159292,1993,2007,10,1288,15,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,8,20,Myung-duk,6,2,0,1,5,0,4,3,5,5,4,14,17
95575,1993,2007,10,644,14,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,8,20,Myung-duk,6,2,0,1,5,0,4,3,5,5,4,14,17
147787,2005,2007,10,743,8,mixed,individual_heating,management_in_trust,67,798,0~5min,5min~10min,8,6,0,Bangoge,5,2,0,1,5,0,3,4,4,4,7,13,15
340707,2007,2007,10,1387,42,terraced,individual_heating,management_in_trust,0,1270,0~5min,0-5min,7,14,16,Kyungbuk_uni_hospital,3,1,2,1,0,2,3,3,2,2,10,9,10
197345,2007,2007,10,868,7,terraced,individual_heating,management_in_trust,0,1270,0~5min,0-5min,7,14,16,Kyungbuk_uni_hospital,3,1,2,1,0,2,3,3,2,2,10,9,10
181415,2007,2007,10,868,7,terraced,individual_heating,management_in_trust,0,1270,0~5min,0-5min,7,14,16,Kyungbuk_uni_hospital,3,1,2,1,0,2,3,3,2,2,10,9,10
346017,2007,2007,10,1387,28,terraced,individual_heating,management_in_trust,0,1270,0~5min,0-5min,7,14,16,Kyungbuk_uni_hospital,3,1,2,1,0,2,3,3,2,2,10,9,10
55752,1985,2007,11,587,9,corridor,individual_heating,self_management,80,76,0~5min,5min~10min,1,2,2,Daegu,5,1,2,1,2,1,2,1,1,0,3,12,4
347787,2007,2007,11,1334,10,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,5,5,Banwoldang,4,1,2,1,0,1,2,1,1,1,5,9,5
347787,2007,2007,11,1334,17,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,5,5,Banwoldang,4,1,2,1,0,1,2,1,1,1,5,9,5
383185,2007,2007,11,1444,16,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,5,5,Banwoldang,4,1,2,1,0,1,2,1,1,1,5,9,5
462831,2007,2007,11,1690,22,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,5,5,Banwoldang,4,1,2,1,0,1,2,1,1,1,5,9,5
407079,2007,2007,11,1629,4,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,5,5,Banwoldang,4,1,2,1,0,1,2,1,1,1,5,9,5
360176,2007,2007,11,1483,4,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,5,5,Banwoldang,4,1,2,1,0,1,2,1,1,1,5,9,5
315929,2007,2007,11,1334,3,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,5,5,Banwoldang,4,1,2,1,0,1,2,1,1,1,5,9,5
289380,2007,2007,11,1273,3,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,5,5,Banwoldang,4,1,2,1,0,1,2,1,1,1,5,9,5
348672,2007,2007,11,1483,3,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,5,5,Banwoldang,4,1,2,1,0,1,2,1,1,1,5,9,5
465486,2007,2007,11,1690,25,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,5,5,Banwoldang,4,1,2,1,0,1,2,1,1,1,5,9,5
393805,2007,2007,11,1629,3,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,5,5,Banwoldang,4,1,2,1,0,1,2,1,1,1,5,9,5
408849,2007,2007,11,1690,3,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,5,5,Banwoldang,4,1,2,1,0,1,2,1,1,1,5,9,5
348672,2007,2007,11,1483,3,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,5,5,Banwoldang,4,1,2,1,0,1,2,1,1,1,5,9,5
371681,2007,2007,11,1483,9,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,5,5,Banwoldang,4,1,2,1,0,1,2,1,1,1,5,9,5
326548,2007,2007,11,1334,4,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,5,5,Banwoldang,4,1,2,1,0,1,2,1,1,1,5,9,5
348672,2007,2007,11,1483,4,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,5,5,Banwoldang,4,1,2,1,0,1,2,1,1,1,5,9,5
371681,2007,2007,11,1483,6,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,5,5,Banwoldang,4,1,2,1,0,1,2,1,1,1,5,9,5
348672,2007,2007,11,1483,5,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,5,5,Banwoldang,4,1,2,1,0,1,2,1,1,1,5,9,5
371681,2007,2007,11,1483,8,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,5,5,Banwoldang,4,1,2,1,0,1,2,1,1,1,5,9,5
337168,2007,2007,11,1483,3,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,5,5,Banwoldang,4,1,2,1,0,1,2,1,1,1,5,9,5
360176,2007,2007,11,1483,4,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,5,5,Banwoldang,4,1,2,1,0,1,2,1,1,1,5,9,5
360176,2007,2007,11,1483,6,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,5,5,Banwoldang,4,1,2,1,0,1,2,1,1,1,5,9,5
95132,1986,2007,11,910,15,corridor,individual_heating,management_in_trust,100,18,0~5min,5min~10min,1,1,2,Sin-nam,5,1,2,1,1,1,6,2,3,2,3,11,13
110619,1993,2007,11,914,1,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,8,20,Myung-duk,6,2,0,1,5,0,4,3,5,5,4,14,17
163716,2005,2007,11,914,8,mixed,individual_heating,management_in_trust,67,798,0~5min,5min~10min,8,6,0,Bangoge,5,2,0,1,5,0,3,4,4,4,7,13,15
232212,2007,2007,11,1103,24,terraced,individual_heating,management_in_trust,554,524,0~5min,0-5min,3,5,10,Banwoldang,2,2,2,2,0,1,2,2,2,2,4,9,8
86725,1993,2007,11,644,15,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,8,20,Myung-duk,6,2,0,1,5,0,4,3,5,5,4,14,17
172566,1993,2007,11,1761,4,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,8,20,Myung-duk,6,2,0,1,5,0,4,3,5,5,4,14,17
194690,1993,2007,11,2337,18,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,8,20,Myung-duk,6,2,0,1,5,0,4,3,5,5,4,14,17
36283,1992,2007,11,355,4,corridor,individual_heating,management_in_trust,200,0,5min~10min,10min~15min,3,5,10,Myung-duk,7,1,1,1,5,1,4,3,5,5,3,16,17
60176,1992,2007,11,576,14,corridor,individual_heating,management_in_trust,200,0,5min~10min,10min~15min,3,5,10,Myung-duk,7,1,1,1,5,1,4,3,5,5,3,16,17
88495,1993,2007,11,644,19,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,8,20,Myung-duk,6,2,0,1,5,0,4,3,5,5,4,14,17
61946,1992,2007,11,576,8,corridor,individual_heating,management_in_trust,200,0,5min~10min,10min~15min,3,5,10,Myung-duk,7,1,1,1,5,1,4,3,5,5,3,16,17
81858,1992,2007,11,644,16,mixed,individual_heating,self_management,142,79,5min~10min,15min~20min,3,4,8,Myung-duk,5,1,1,1,1,0,3,3,4,4,3,9,14
60176,1992,2007,11,576,11,corridor,individual_heating,management_in_trust,200,0,5min~10min,10min~15min,3,5,10,Myung-duk,7,1,1,1,5,1,4,3,5,5,3,16,17
191150,2007,2007,11,868,8,terraced,individual_heating,management_in_trust,0,1270,0~5min,0-5min,7,14,16,Kyungbuk_uni_hospital,3,1,2,1,0,2,3,3,2,2,10,9,10
408849,2007,2007,11,1643,4,terraced,individual_heating,management_in_trust,0,1270,0~5min,0-5min,7,14,16,Kyungbuk_uni_hospital,3,1,2,1,0,2,3,3,2,2,10,9,10
162831,1986,2007,11,1131,5,terraced,central_heating,management_in_trust,713,0,0~5min,10min~15min,7,8,27,Kyungbuk_uni_hospital,5,1,1,0,1,1,3,1,1,1,4,9,6
203539,2007,2007,11,868,21,terraced,individual_heating,management_in_trust,0,1270,0~5min,0-5min,7,14,16,Kyungbuk_uni_hospital,3,1,2,1,0,2,3,3,2,2,10,9,10
94690,1986,2007,12,910,16,corridor,individual_heating,management_in_trust,100,18,0~5min,5min~10min,1,1,2,Sin-nam,5,1,2,1,1,1,6,2,3,2,3,11,13
242920,2006,2007,12,1437,4,terraced,individual_heating,management_in_trust,249,536,0~5min,0-5min,6,5,11,Sin-nam,1,1,0,1,0,0,2,2,1,2,5,3,7
307964,2006,2007,12,1743,15,terraced,individual_heating,management_in_trust,249,536,0~5min,0-5min,6,5,11,Sin-nam,1,1,0,1,0,0,2,2,1,2,5,3,7
287486,2007,2007,12,1366,19,terraced,individual_heating,management_in_trust,554,524,0~5min,0-5min,3,5,10,Banwoldang,2,2,2,2,0,1,2,2,2,2,4,9,8
285840,2007,2007,12,1366,20,terraced,individual_heating,management_in_trust,554,524,0~5min,0-5min,3,5,10,Banwoldang,2,2,2,2,0,1,2,2,2,2,4,9,8
132743,1993,2007,12,914,16,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,8,20,Myung-duk,6,2,0,1,5,0,4,3,5,5,4,14,17
176991,2007,2007,12,914,30,terraced,individual_heating,management_in_trust,554,524,0~5min,0-5min,3,5,10,Banwoldang,2,2,2,2,0,1,2,2,2,2,4,9,8
323982,2007,2007,12,1448,30,terraced,individual_heating,management_in_trust,554,524,0~5min,0-5min,3,5,10,Banwoldang,2,2,2,2,0,1,2,2,2,2,4,9,8
92035,1993,2007,12,644,15,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,8,20,Myung-duk,6,2,0,1,5,0,4,3,5,5,4,14,17
115044,1993,2007,12,914,9,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,8,20,Myung-duk,6,2,0,1,5,0,4,3,5,5,4,14,17
137168,1993,2007,12,914,21,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,8,20,Myung-duk,6,2,0,1,5,0,4,3,5,5,4,14,17
265486,2007,2007,12,1394,24,terraced,individual_heating,management_in_trust,554,524,0~5min,0-5min,3,5,10,Banwoldang,2,2,2,2,0,1,2,2,2,2,4,9,8
97345,1993,2007,12,644,17,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,8,20,Myung-duk,6,2,0,1,5,0,4,3,5,5,4,14,17
199469,2007,2007,12,1103,17,terraced,individual_heating,management_in_trust,554,524,0~5min,0-5min,3,5,10,Banwoldang,2,2,2,2,0,1,2,2,2,2,4,9,8
290000,2007,2007,12,1366,18,terraced,individual_heating,management_in_trust,554,524,0~5min,0-5min,3,5,10,Banwoldang,2,2,2,2,0,1,2,2,2,2,4,9,8
82300,1993,2007,12,644,8,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,8,20,Myung-duk,6,2,0,1,5,0,4,3,5,5,4,14,17
134513,1993,2007,12,914,11,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,8,20,Myung-duk,6,2,0,1,5,0,4,3,5,5,4,14,17
201769,2007,2007,12,868,24,terraced,individual_heating,management_in_trust,0,1270,0~5min,0-5min,7,14,16,Kyungbuk_uni_hospital,3,1,2,1,0,2,3,3,2,2,10,9,10
185840,1986,2007,12,1131,5,terraced,central_heating,management_in_trust,713,0,0~5min,10min~15min,7,8,27,Kyungbuk_uni_hospital,5,1,1,0,1,1,3,1,1,1,4,9,6
174336,1986,2007,12,1131,11,terraced,central_heating,management_in_trust,713,0,0~5min,10min~15min,7,8,27,Kyungbuk_uni_hospital,5,1,1,0,1,1,3,1,1,1,4,9,6
319469,2007,2007,12,1387,30,terraced,individual_heating,management_in_trust,0,1270,0~5min,0-5min,7,14,16,Kyungbuk_uni_hospital,3,1,2,1,0,2,3,3,2,2,10,9,10
170796,1986,2007,12,1377,2,terraced,central_heating,management_in_trust,713,0,0~5min,10min~15min,7,8,27,Kyungbuk_uni_hospital,5,1,1,0,1,1,3,1,1,1,4,9,6
112389,1997,2008,1,914,11,mixed,individual_heating,management_in_trust,82,56,5min~10min,15min~20min,1,2,4,Chil-sung-market,7,1,2,1,1,1,4,0,0,3,5,13,7
72566,1985,2008,1,676,6,corridor,individual_heating,self_management,80,76,0~5min,5min~10min,1,2,2,Daegu,5,1,2,1,2,1,2,1,1,0,3,12,4
448672,2007,2008,1,1690,18,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,5,5,Banwoldang,4,1,2,1,0,1,2,1,1,1,5,9,5
462831,2007,2008,1,1690,20,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,5,5,Banwoldang,4,1,2,1,0,1,2,1,1,1,5,9,5
317699,2007,2008,1,1273,13,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,5,5,Banwoldang,4,1,2,1,0,1,2,1,1,1,5,9,5
295460,2007,2008,1,1273,18,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,5,5,Banwoldang,4,1,2,1,0,1,2,1,1,1,5,9,5
44247,1986,2008,1,508,1,corridor,individual_heating,management_in_trust,100,18,0~5min,5min~10min,1,1,2,Sin-nam,5,1,2,1,1,1,6,2,3,2,3,11,13
51327,1986,2008,1,508,11,corridor,individual_heating,management_in_trust,100,18,0~5min,5min~10min,1,1,2,Sin-nam,5,1,2,1,1,1,6,2,3,2,3,11,13
52212,1986,2008,1,547,4,corridor,individual_heating,management_in_trust,100,18,0~5min,5min~10min,1,1,2,Sin-nam,5,1,2,1,1,1,6,2,3,2,3,11,13
265486,2006,2008,1,1437,28,terraced,individual_heating,management_in_trust,249,536,0~5min,0-5min,6,5,11,Sin-nam,1,1,0,1,0,0,2,2,1,2,5,3,7
38761,1992,2008,1,355,3,corridor,individual_heating,management_in_trust,200,0,5min~10min,10min~15min,3,5,10,Myung-duk,7,1,1,1,5,1,4,3,5,5,3,16,17
39823,1992,2008,1,355,12,corridor,individual_heating,management_in_trust,200,0,5min~10min,10min~15min,3,5,10,Myung-duk,7,1,1,1,5,1,4,3,5,5,3,16,17
84070,1993,2008,1,644,21,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,8,20,Myung-duk,6,2,0,1,5,0,4,3,5,5,4,14,17
212389,2005,2008,1,1184,17,mixed,individual_heating,management_in_trust,67,798,0~5min,5min~10min,8,6,0,Bangoge,5,2,0,1,5,0,3,4,4,4,7,13,15
225663,2007,2008,1,1103,14,terraced,individual_heating,management_in_trust,554,524,0~5min,0-5min,3,5,10,Banwoldang,2,2,2,2,0,1,2,2,2,2,4,9,8
151327,2005,2008,1,743,10,mixed,individual_heating,management_in_trust,67,798,0~5min,5min~10min,8,6,0,Bangoge,5,2,0,1,5,0,3,4,4,4,7,13,15
91150,1993,2008,1,644,20,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,8,20,Myung-duk,6,2,0,1,5,0,4,3,5,5,4,14,17
131415,2005,2008,1,743,3,mixed,individual_heating,management_in_trust,67,798,0~5min,5min~10min,8,6,0,Bangoge,5,2,0,1,5,0,3,4,4,4,7,13,15
135398,1993,2008,1,914,10,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,8,20,Myung-duk,6,2,0,1,5,0,4,3,5,5,4,14,17
163539,2007,2008,1,914,26,terraced,individual_heating,management_in_trust,554,524,0~5min,0-5min,3,5,10,Banwoldang,2,2,2,2,0,1,2,2,2,2,4,9,8
176991,2007,2008,1,914,26,terraced,individual_heating,management_in_trust,554,524,0~5min,0-5min,3,5,10,Banwoldang,2,2,2,2,0,1,2,2,2,2,4,9,8
80530,1993,2008,1,644,2,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,8,20,Myung-duk,6,2,0,1,5,0,4,3,5,5,4,14,17
86283,1993,2008,1,644,12,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,8,20,Myung-duk,6,2,0,1,5,0,4,3,5,5,4,14,17
126106,1993,2008,1,914,17,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,8,20,Myung-duk,6,2,0,1,5,0,4,3,5,5,4,14,17
207964,1986,2008,1,1377,10,terraced,central_heating,management_in_trust,713,0,0~5min,10min~15min,7,8,27,Kyungbuk_uni_hospital,5,1,1,0,1,1,3,1,1,1,4,9,6
198230,2007,2008,1,868,11,terraced,individual_heating,management_in_trust,0,1270,0~5min,0-5min,7,14,16,Kyungbuk_uni_hospital,3,1,2,1,0,2,3,3,2,2,10,9,10
203539,2007,2008,1,868,24,terraced,individual_heating,management_in_trust,0,1270,0~5min,0-5min,7,14,16,Kyungbuk_uni_hospital,3,1,2,1,0,2,3,3,2,2,10,9,10
194690,2007,2008,1,868,10,terraced,individual_heating,management_in_trust,0,1270,0~5min,0-5min,7,14,16,Kyungbuk_uni_hospital,3,1,2,1,0,2,3,3,2,2,10,9,10
351769,2007,2008,1,1387,41,terraced,individual_heating,management_in_trust,0,1270,0~5min,0-5min,7,14,16,Kyungbuk_uni_hospital,3,1,2,1,0,2,3,3,2,2,10,9,10
119292,1986,2008,1,914,4,terraced,central_heating,management_in_trust,713,0,0~5min,10min~15min,7,8,27,Kyungbuk_uni_hospital,5,1,1,0,1,1,3,1,1,1,4,9,6
193805,2007,2008,1,868,14,terraced,individual_heating,management_in_trust,0,1270,0~5min,0-5min,7,14,16,Kyungbuk_uni_hospital,3,1,2,1,0,2,3,3,2,2,10,9,10
221238,2006,2008,1,1192,4,terraced,individual_heating,management_in_trust,123,181,5min~10min,0-5min,3,3,11,Myung-duk,3,1,1,1,2,0,4,3,3,1,4,8,11
150442,1986,2008,1,1131,3,terraced,central_heating,management_in_trust,713,0,0~5min,10min~15min,7,8,27,Kyungbuk_uni_hospital,5,1,1,0,1,1,3,1,1,1,4,9,6
191150,2007,2008,1,868,17,terraced,individual_heating,management_in_trust,0,1270,0~5min,0-5min,7,14,16,Kyungbuk_uni_hospital,3,1,2,1,0,2,3,3,2,2,10,9,10
110619,1997,2008,2,914,13,mixed,individual_heating,management_in_trust,82,56,5min~10min,15min~20min,1,2,4,Chil-sung-market,7,1,2,1,1,1,4,0,0,3,5,13,7
